COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_FULLY_VACCINATED,PERSONS_FULLY_VACCINATED_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED
Bosnia and Herzegovina,BIH,EURO,OWID,18-08-2021,928126,567198,28.289,17.288,360928,11.001,"AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty, Sinovac - CoronaVac, Gamaleya - Sputnik V",,4
Botswana,BWA,AFRO,REPORTING,23-08-2021,264978,273532,11.268,11.632,198470,8.44,"Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",26-03-2021,4
Brazil,BRA,AMRO,REPORTING,20-08-2021,165960369,119868047,78.077,56.393,50438096,23.729,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2.5,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",17-01-2021,5
British Virgin Islands,VGB,AMRO,REPORTING,20-08-2021,29431,16826,97.334,55.647,12605,41.687,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2.5",11-02-2021,2
Brunei Darussalam,BRN,WPRO,REPORTING,13-08-2021,159298,132166,36.413,30.211,27132,6.202,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",03-04-2021,5
Bulgaria,BGR,EURO,OWID,21-08-2021,2216558,,31.886,,1111648,15.992,"Janssen - Ad26.COV 2.5, Moderna - mRNA-1273, AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty",,4
Burkina Faso,BFA,AFRO,REPORTING,23-08-2021,71510,53814,0.342,0.257,4463,0.021,SII - Covishield,02-06-2021,1
Cabo Verde,CPV,AFRO,REPORTING,23-08-2021,262164,212766,47.153,38.268,49398,8.885,"Pfizer BioNTech - Comirnaty,SII - Covishield",18-03-2021,2
Cambodia,KHM,WPRO,REPORTING,13-08-2021,13165840,7700137,78.748,46.056,5597888,33.482,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2.5,SII - Covishield,Sinovac - CoronaVac",10-02-2021,5
Cameroon,CMR,AFRO,REPORTING,23-08-2021,418130,343672,1.575,1.295,74476,0.281,"Beijing CNBG - BBIBP-CorV,SII - Covishield",12-04-2021,2
